RMSD,Time 
0,0.2878484
0.01,0.3169433
0.02,0.3289248
0.03,0.3252555
0.04,0.3337137
0.05,0.3277941
0.06,0.3213726
0.07,0.3309401
0.08,0.3381441
0.09,0.3428701
0.1,0.3387123
0.11,0.3322002
0.12,0.3598591
0.13,0.3509087
0.14,0.347975
0.15,0.3480541
0.16,0.3303562
0.17,0.3368759
0.18,0.3470996
0.19,0.3458096
0.2,0.3401973
0.21,0.3400709
0.22,0.3363458
0.23,0.3385566
0.24,0.3299077
0.25,0.3216824
0.26,0.3372353
0.27,0.32587
0.28,0.3358108
0.29,0.32264
0.3,0.3158151
0.31,0.3367514
0.32,0.3246908
0.33,0.3404166
0.34,0.3442088
0.35,0.3643954
0.36,0.3300356
0.37,0.3506657
0.38,0.350563
0.39,0.334183
0.4,0.3439917
0.41,0.3634751
0.42,0.3505248
0.43,0.3435704
0.44,0.3410284
0.45,0.339816
0.46,0.3421312
0.47,0.342187
0.48,0.3460948
0.49,0.3519525
0.5,0.3382235
0.5100001,0.3489164
0.52,0.3289588
0.53,0.33482
0.54,0.3485297
0.55,0.3510728
0.56,0.3469647
0.5700001,0.3644278
0.58,0.3638168
0.59,0.3489802
0.6,0.3536564
0.61,0.3350125
0.62,0.3347618
0.6300001,0.331574
0.64,0.3357224
0.65,0.3436755
0.66,0.3485405
0.67,0.3442794
0.68,0.3575316
0.6900001,0.3571592
0.7,0.3370381
0.71,0.3402228
0.72,0.3411658
0.73,0.3447753
0.74,0.359493
0.7500001,0.3423564
0.7600001,0.3579551
0.77,0.3454536
0.78,0.3445248
0.79,0.3392689
0.8,0.3378314
0.8100001,0.3211956
0.8200001,0.3368938
0.83,0.3383562
0.84,0.3321554
0.85,0.3426194
0.86,0.3413069
0.8700001,0.3412934
0.8800001,0.3350132
0.89,0.3265638
0.9,0.3299299
0.91,0.3407589
0.92,0.3365849
0.9300001,0.3358549
0.9400001,0.326726
0.95,0.3235658
0.96,0.3289852
0.97,0.3223626
0.98,0.3333135
0.9900001,0.3345235
1,0.3605565
1.01,0.3362218
1.0200001,0.3314292
1.0300001,0.3331161
1.0400001,0.336045
1.0500001,0.3565645
1.0600001,0.3353533
1.0700001,0.3455632
